Site Name,Sample Collection Date,Concentration,7dra_centered
Brightwater,11/03/2023,2816449918,2732271010.0
Brightwater,11/04/2023,3445959315,3193422589.857143
Brightwater,11/05/2023,4075468711,3489960651.714286
Brightwater,11/06/2023,4115725749,3621885195.857143
Brightwater,11/07/2023,4155982788,3589196222.285714
Brightwater,11/08/2023,3633197559,3391893730.714286
Brightwater,11/09/2023,3110412331,3029977721.428571
Brightwater,11/10/2023,2587627103,2667898823.0
Brightwater,11/11/2023,2064841874,2305657035.142857
Brightwater,11/12/2023,1542056646,2010725919.7142856
Brightwater,11/13/2023,1581173460,1783105476.5714285
Brightwater,11/14/2023,1620290273,1622795705.857143
Brightwater,11/15/2023,1568679751,1529796607.5714285
Brightwater,11/16/2023,1517069229,1504108181.5714285
Brightwater,11/17/2023,1465458708,1456175791.0
Brightwater,11/18/2023,1413848186,1385999436.0
Brightwater,11/19/2023,1362237664,1315553566.7142856
Brightwater,11/20/2023,1245646726,1244838183.142857
Brightwater,11/21/2023,1129055788,1173853285.2857144
Brightwater,11/22/2023,1075558666,1102598873.142857
Brightwater,11/23/2023,1022061544,1031074946.7142857
Brightwater,11/24/2023,968564423,983944216.2857143
Brightwater,11/25/2023,915067301,961206681.7142857
Brightwater,11/26/2023,861570179,953342549.7142857
Brightwater,11/27/2023,915731613,960351820.1428572
Brightwater,11/28/2023,969893046,982234493.0
Brightwater,11/29/2023,1020509742,1018990568.2857143
Brightwater,11/30/2023,1071126437,1070620046.0
Brightwater,12/01/2023,1121743133,1099914550.7142856
Brightwater,12/02/2023,1172359828,1106874082.4285715
Brightwater,12/03/2023,1222976523,1107376397.5714285
Brightwater,12/04/2023,1120793146,1101421496.142857
Brightwater,12/05/2023,1018609768,1089009378.142857
Brightwater,12/06/2023,1024025948,1070140043.5714285
Brightwater,12/07/2023,1029442127,1044813492.4285715
Brightwater,12/08/2023,1034858307,1028769743.0
Brightwater,12/09/2023,1040274486,1022008795.4285715
Brightwater,12/10/2023,1045690665,1002407183.5714285
